Rank,Name,Country,Sales,Profit,Assets,Market Value,Year
1,ICBC,China,175.874,45.223,4034.482,305.057,2019
2,JPMorgan Chase,United States,132.912,32.738,2737.188,368.502,2019
3,China Construction Bank,China,150.313,38.841,3382.422,224.988,2019
4,Agricultural Bank of China,China,137.456,30.894,3293.105,197.045,2019
5,Bank of America,United States,111.904,28.54,2377.164,287.339,2019
6,Apple,United States,261.705,59.431,373.719,961.257,2019
7,Ping An Insurance Group,China,151.788,16.3,1038.3,220.197,2019
8,Bank of China,China,126.677,27.5,3097.612,142.958,2019
9,Royal Dutch Shell,Netherlands,382.626,23.329,399.194,264.939,2019
10,Wells Fargo,United States,101.456,23.117,1887.792,214.676,2019
11,ExxonMobil,United States,279.209,20.84,346.196,343.431,2019
12,AT&T,United States,170.805,19.37,531.864,233.325,2019
13,Samsung Electronics,South Korea,221.506,39.882,304.138,272.424,2019
14,Citigroup,United States,99.974,17.928,1958.413,161.112,2019
15,Toyota Motor,Japan,272.144,17.241,465.625,176.602,2019
16,Microsoft,United States,118.224,33.541,258.859,946.521,2019
17,Alphabet,United States,136.958,30.736,232.792,863.178,2019
18,Volkswagen Group,Germany,278.243,13.955,553.506,91.951,2019
19,Chevron,United States,158.741,14.824,253.863,228.323,2019
20,Verizon Communications,United States,130.863,15.528,264.829,239.705,2019
21,HSBC Holdings,United Kingdom,64.294,13.664,2558.124,175.46,2019
22,PetroChina,China,322.842,7.991,354.306,198.651,2019
23,Allianz,Germany,118.843,8.803,1060.217,102.303,2019
24,BP,United Kingdom,299.065,9.332,282.176,149.548,2019
25,Total,France,184.202,11.401,256.762,149.486,2019
26,Berkshire Hathaway,United States,247.837,4.021,707.794,516.407,2019
27,China Mobile,Hong Kong,111.804,17.906,223.708,197.572,2019
28,Amazon,United States,232.887,10.073,162.648,916.05,2019
29,Walmart,United States,514.405,6.67,219.295,296.094,2019
30,Santander,Spain,89.455,9.214,1668.166,84.077,2019
31,China Merchants Bank,China,54.867,12.259,982.526,130.355,2019
32,UnitedHealth Group,United States,231.367,12.617,161.197,212.778,2019
33,Comcast,United States,94.507,11.731,251.684,192.037,2019
34,BNP Paribas,France,101.602,8.446,2332.982,68.712,2019
35,Sinopec,China,399.679,9.534,233.003,105.633,2019
36,Softbank,Japan,86.162,13.863,332.311,112.4,2019
37,Daimler,Germany,197.445,8.552,321.933,71.342,2019
38,Johnson & Johnson,United States,81.575,14.679,152.954,366.184,2019
39,Bank of Communications,China,64.752,11.191,1388.23,63.612,2019
40,Gazprom,Russia,128.43,18.916,305.935,59.861,2019
41,RBC,Canada,46.276,9.642,1040.286,114.929,2019
42,Nestle,Switzerland,93.433,10.356,138.989,281.294,2019
43,Mitsubishi UFJ Financial,Japan,53.664,9.041,2799.935,65.008,2019
44,Intel,United States,70.848,21.053,127.963,263.127,2019
45,Goldman Sachs Group,United States,51.009,9.878,925,75.52,2019
46,TD Bank Group,Canada,42.544,8.683,1007.01,103.836,2019
47,Sberbank,Russia,51.607,13.258,449.71,78.539,2019
48,Morgan Stanley,United States,50.87,8.509,875.964,80.169,2019
49,Boeing,United States,101.127,10.453,117.359,214.543,2019
50,Petrobras,Brazil,95.681,7.051,222.015,91.193,2019
51,Nippon Telegraph & Tel,Japan,107.501,8.74,199.607,80.173,2019
52,Rosneft,Russia,112.937,8.739,191.272,72.161,2019
53,Procter & Gamble,United States,66.912,10.795,123.687,265.293,2019
54,Pfizer,United States,53.646,11.152,159.422,218.63,2019
55,Industrial Bank,China,49.736,9.274,950.968,62.369,2019
56,General Motors,United States,147.049,8.084,227.339,56.802,2019
57,BMW Group,Germany,115.002,8.396,238.895,57.486,2019
58,Ita̼ Unibanco Holding,Brazil,53.781,6.751,383.203,80.779,2019
59,Alibaba,China,51.892,10.273,133.726,480.797,2019
60,IBM,United States,78.701,8.637,130.926,124.875,2019
61,Novartis,Switzerland,51.902,12.633,145.646,175.649,2019
62,Postal Savings Bank Of China (PSBC),China,61.032,8.002,1386.051,48.751,2019
63,Facebook,United States,55.838,22.112,97.334,512.005,2019
64,Siemens,Germany,98.316,5.465,164.165,96.998,2019
65,Shanghai Pudong Development,China,50.023,8.45,916.091,52.138,2019
66,Japan Post Holdings,Japan,115.601,4.324,2619.65,44.521,2019
67,Sumitomo Mitsui Financial,Japan,52.466,6.557,1841.136,50.867,2019
68,Banco Bradesco,Brazil,62.628,5.22,332.14,70.702,2019
69,Anheuser-Busch InBev,Belgium,54.62,4.33,233.841,175.653,2019
70,Walt Disney,United States,59.402,10.963,99.941,238.095,2019
71,Reliance Industries,India,79.687,5.649,124.554,126.409,2019
72,CITIC,Hong Kong,68.042,6.41,978.461,43.607,2019
73,Sony,Japan,76.865,7.348,190.695,60.146,2019
74,Cisco Systems,United States,50.822,12.865,102.462,248.275,2019
75,Tencent Holdings,China,47.228,11.949,105.382,472.062,2019
76,Honda Motor,Japan,142.646,6.62,180.934,50.545,2019
77,Enel,Italy,86.28,5.65,189.104,63.137,2019
78,United Technologies,United States,66.485,5.269,134.211,118.14,2019
79,Commonwealth Bank,Australia,31.396,6.736,690.223,92.822,2019
80,China State Construction Engineering,China,178.801,5.779,271.367,41.005,2019
81,DowDuPont,United States,85.977,3.827,188.03,87.606,2019
82,Equinor,Norway,77.862,7.619,112.508,77.551,2019
83,American Express,United States,43.282,6.867,188.602,95.34,2019
84,MetLife,United States,66.855,5.123,692.53,43.384,2019
85,AXA Group,France,139.662,2.216,1034.487,63.602,2019
86,PepsiCo,United States,64.983,12.585,75.466,178.157,2019
87,Bank of Nova Scotia,Canada,32.366,6.447,787.545,67.077,2019
88,Roche Holding,Switzerland,58.085,10.729,79.648,222.048,2019
89,ING Group,Netherlands,39.362,5.548,1014.008,52.699,2019
90,Lloyds Banking Group,United Kingdom,35.242,5.3,1015.821,60.895,2019
91,Eni,Italy,89.437,4.986,139.529,62.483,2019
92,Oracle,United States,39.62,10.751,109.438,186.33,2019
93,China Citic Bank,China,45.582,6.782,883.626,42.941,2019
94,China Evergrande Group,China,71.698,5.797,273.829,42.495,2019
95,UBS,Switzerland,42.904,4.84,958.489,48.964,2019
96,AIRBUS,Netherlands,75.158,3.603,131.689,104.873,2019
97,LukOil,Russia,127.914,9.856,82.632,61.103,2019
98,Prudential Financial,United States,61.266,4.024,815.078,42.397,2019
99,BASF,Germany,76.235,5.553,103.775,76.584,2019
100,SAIC Motor,China,135.217,5.442,114.012,51.474,2019
101,Westpac Banking Group,Australia,29.08,6.148,636.908,66.036,2019
102,British American Tobacco,United Kingdom,32.658,8.043,186.381,90.924,2019
103,US Bancorp,United States,25.703,7.098,475.775,81.885,2019
104,Credit Agricole,France,52.245,4.668,1856.926,38.353,2019
105,China Life Insurance,China,98.335,1.862,474.776,114.154,2019
106,Unilever,Netherlands,60.146,11.077,67.967,153.638,2019
107,Glencore International,Switzerland,219.782,3.343,128.672,60.455,2019
108,Mitsubishi,Japan,127.412,5.308,153.189,42.463,2019
109,BHP Group,Australia,42.556,6.03,102.414,138.278,2019
110,Ford Motor,United States,160.338,3.677,256.54,38.101,2019
